time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-18T12:09:33.957Z,63.4138,-147.3908,35.6,1.7,ml,,,,0.84,ak,ak019298j7ir,2019-02-18T12:12:51.054Z,"77km E of Cantwell, Alaska",earthquake,,13.6,,,automatic,ak,ak
2019-02-18T11:41:38.210Z,33.9641667,-116.9425,16.6,1.75,ml,64,32,0.05313,0.18,ci,ci37533730,2019-02-18T11:52:21.270Z,"5km NE of Beaumont, CA",earthquake,0.19,0.52,0.132,24,automatic,ci,ci
2019-02-18T11:30:16.930Z,62.3925,-148.5514,15.3,1.9,ml,,,,0.86,ak,ak01929828n1,2019-02-18T11:35:34.133Z,"68km NNE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-18T11:14:17.242Z,61.4763,-150.0155,33.9,1.5,ml,,,,0.48,ak,ak019297yt7g,2019-02-18T11:17:40.399Z,"5km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-18T11:12:12.380Z,33.9286667,-116.8281667,4.84,0.48,ml,17,120,0.09823,0.16,ci,ci37533722,2019-02-18T11:15:52.336Z,"4km WNW of Cabazon, CA",earthquake,0.38,1.42,0.118,5,automatic,ci,ci
2019-02-18T10:37:55.670Z,33.0798333,-115.5701667,6.85,1.49,ml,20,55,0.04262,0.2,ci,ci37533714,2019-02-18T10:41:36.340Z,"7km NE of Westmorland, CA",earthquake,0.35,0.92,0.188,22,automatic,ci,ci
2019-02-18T10:23:38.800Z,38.3950005,-122.5166702,12.07,1.92,md,8,192,0.1987,0.04,nc,nc73143321,2019-02-18T10:57:04.780Z,"3km SE of Kenwood, CA",earthquake,1.91,1.06,0.15,12,automatic,nc,nc
2019-02-18T10:21:08.420Z,18.706,-66.806,93,2.83,md,17,235,0.3589,0.17,pr,pr2019049004,2019-02-18T10:53:41.987Z,"24km N of Hatillo, Puerto Rico",earthquake,1.17,0.72,0.28,16,reviewed,pr,pr
2019-02-18T10:04:05.440Z,33.2358333,-116.768,13.68,0.89,ml,23,29,0.007745,0.15,ci,ci37533706,2019-02-18T10:07:37.123Z,"1km SW of Lake Henshaw, CA",earthquake,0.25,0.65,0.174,16,automatic,ci,ci
2019-02-18T10:02:12.990Z,17.8951,-67.707,22,2.69,md,5,303,0.5398,0.42,pr,pr2019049005,2019-02-18T12:16:22.890Z,"55km W of Pole Ojea, Puerto Rico",earthquake,2.87,26.34,0.18,3,reviewed,pr,pr
